Table S4,GWAS sources for traits used in real-data negative control studies from Pan-UKBB,,,,,,,
,,,,,,,,
column description:,,,,,,,,
n_population: sample size in the corresponding population,,,,,,,,
,,,,,,,,
35 exposure traits,,,,,,,,
trait_type,phenocode,pheno_sex,trait description,category,n_EUR,n_AFR,n_CSA,wget
biomarkers,30600,both_sexes,Albumin,Biological samples > Assay results > Blood assays > Blood biochemistry,367192,5759,7694,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30600-both_sexes-irnt.tsv.bgz
biomarkers,30870,both_sexes,Triglycerides,Biological samples > Assay results > Blood assays > Blood biochemistry,400639,6211,8415,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30870-both_sexes-irnt.tsv.bgz
biomarkers,30890,both_sexes,Vitamin D,Biological samples > Assay results > Blood assays > Blood biochemistry,383324,6046,7380,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30890-both_sexes-irnt.tsv.bgz
continuous,20015,both_sexes,Sitting height,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,419233,6554,8649,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-20015-both_sexes-irnt.tsv.bgz
continuous,21002,both_sexes,Weight,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,419316,6558,8771,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-21002-both_sexes-irnt.tsv.bgz
continuous,23098,both_sexes,Weight,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,413194,6458,8658,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23098-both_sexes-irnt.tsv.bgz
continuous,23099,both_sexes,Body fat percentage,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,412960,6455,8654,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23099-both_sexes-irnt.tsv.bgz
continuous,23100,both_sexes,Whole body fat mass,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,412524,6450,8645,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23100-both_sexes-irnt.tsv.bgz
continuous,23101,both_sexes,Whole body fat-free mass,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,413158,6456,8658,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23101-both_sexes-irnt.tsv.bgz
continuous,23102,both_sexes,Whole body water mass,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,413190,6458,8658,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23102-both_sexes-irnt.tsv.bgz
