Table S23,GWAS sources for traits used in real-data causal relationship exploration in Africans,,,,,,,,,,
,,,,,,,,,,,
EUR phenotype,EUR phecode,EUR samples,EUR cases,EUR controls,EUR data link,AFR phenotype,AFR phecode,AFR samples,AFR cases,AFR controls,AFR data link
IGF-1,30770,398797,398797,NA,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30770-both_sexes-irnt.tsv.bgz,IGF-1,30770,6178,6178,NA,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30770-both_sexes-irnt.tsv.bgz
SHBG,30830,363650,363650,NA,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30830-both_sexes-irnt.tsv.bgz,SHBG,30830,5709,5709,NA,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30830-both_sexes-irnt.tsv.bgz
Vitamin D,30890,383324,383324,NA,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30890-both_sexes-irnt.tsv.bgz,Vitamin D,30890,6046,6046,NA,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30890-both_sexes-irnt.tsv.bgz
C-reactive protein,30710,400094,400094,NA,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30710-both_sexes-irnt.tsv.bgz,C-reactive protein,30710,6203,6203,NA,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30710-both_sexes-irnt.tsv.bgz
LDL direct,30780,400223,400223,NA,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30780-both_sexes-irnt.tsv.bgz,LDL direct,30780,6200,6200,NA,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30780-both_sexes-irnt.tsv.bgz
Triglycerides,30870,400639,400639,NA,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30870-both_sexes-irnt.tsv.bgz,Triglycerides,30870,6211,6211,NA,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30870-both_sexes-irnt.tsv.bgz
Neutrophill count,30140,407265,407265,NA,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-30140-both_sexes-irnt.tsv.bgz,Neutrophill count,30140,6262,6262,NA,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-30140-both_sexes-irnt.tsv.bgz
Albumin,30600,315268,315268,NA,http://www.nealelab.is/uk-biobank,Serum albumin levels,alb,13125,13125,NA,https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009048/albuminannotated.txt.gz
Asthma,J45,420531,31030,389501,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-J45-both_sexes.tsv.bgz,Asthma,J45,6636,573,6063,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-J45-both_sexes.tsv.bgz
Chronic ischaemic heart disease,I25,420531,31148,389383,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I25-both_sexes.tsv.bgz,Chronic ischaemic heart disease,I25,6636,302,6334,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I25-both_sexes.tsv.bgz
T2D,250.2,418949,22768,396181,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz,T2D,250.2,6589,796,5793,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz
hypertension,20002_1065,420473,109307,311166,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1065.tsv.bgz,hypertension,20002_1065,6624,2519,4105,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1065.tsv.bgz
Disorders of lipoid metabolism,272,420531,44134,376397,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-272-both_sexes.tsv.bgz,Disorders of lipoid metabolism,272,6636,744,5892,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-272-both_sexes.tsv.bgz
,,,,,,,,,,,
,,,,,,,,,,,

Note: the SHBG trait used in Fig. 6E for EAS is also sourced from the above Pan-UKBB EUR link,,,,,,,,,,,
