Table S20,GWAS sources for traits used in real-data causal relationship exploration in Central/South Asians,,,,,,,,
,,,,,,,,,
Phenotype,Phecode,Category,wget,EUR samples,CSA samples,EUR cases,CSA cases,EUR controls,CSA controls
IGF-1,30770,Anthropometric,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30770-both_sexes-irnt.tsv.bgz,398797,8364,398797,8364,NA,NA
SHBG,30830,Anthropometric,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30830-both_sexes-irnt.tsv.bgz,363650,7643,363650,7643,NA,NA
Vitamin D,30890,Anthropometric,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30890-both_sexes-irnt.tsv.bgz,383324,7380,383324,7380,NA,NA
BMI,21001,Anthropometric,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,419163,8646,419163,8646,NA,NA
Height,50,Anthropometric,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-50-both_sexes-irnt.tsv.bgz,419596,8657,419596,8657,NA,NA
C-reactive protein,30710,Anthropometric,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30710-both_sexes-irnt.tsv.bgz,400094,8397,400094,8397,NA,NA
Glycated haemoglobin (HbA1c),30750,Anthropometric,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30750-both_sexes-irnt.tsv.bgz,400825,8329,400825,8329,NA,NA
HDL cholesterol,30760,Anthropometric,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30760-both_sexes-irnt.tsv.bgz,367021,7688,367021,7688,NA,NA
LDL direct,30780,Anthropometric,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30780-both_sexes-irnt.tsv.bgz,400223,8404,400223,8404,NA,NA
Triglycerides,30870,Anthropometric,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30870-both_sexes-irnt.tsv.bgz,400639,8415,400639,8415,NA,NA
Neutrophill count,30140,Anthropometric,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-30140-both_sexes-irnt.tsv.bgz,407265,8502,407265,8502,NA,NA
Asthma,J45,Immune,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-J45-both_sexes.tsv.bgz,420531,8876,31030,900,389501,7976
Chronic ischaemic heart disease,I25,Cardiometabolic,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-I25-both_sexes.tsv.bgz,420531,8876,31148,1205,389383,7671
T2D,250.2,Cardiometabolic,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz,418949,8845,22768,1664,396181,7181
hypertension,20002_1065,Cardiometabolic,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1065.tsv.bgz,420473,8849,109307,2564,311166,6285
Disorders of lipoid metabolism,272,Cardiometabolic,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-272-both_sexes.tsv.bgz,420531,8876,44134,1800,376397,7076
,,,,,,,,,
,,,,,,,,,
Note: the SHBG trait used in Fig. 6E for EAS is also sourced from the above Pan-UKBB link,,,,,,,,,
